timestamp,iteracao,pressao_mbar,chuva_mm,tempAr_C,umid_%,radSol_kJ/cm2,speedWind_m/s

2019-06-14 19:00:35.946551,1,1001.80,0,29.60,49.10,0.0000003766,0.00
2019-06-14 19:00:42.949691,2,1001.76,0,29.60,49.00,0.0000003766,2.22
2019-06-14 19:00:49.968317,3,1001.80,0,29.70,49.20,0.0000002948,3.33
2019-06-14 19:00:56.971301,4,1001.80,0,29.60,49.50,0.0000002948,1.11
2019-06-14 19:01:03.989576,5,1001.82,0,29.60,49.20,0.0000002948,1.11
2019-06-14 19:01:10.992707,6,1001.78,0,29.60,49.10,0.0000003766,0.00
2019-06-14 19:01:18.011383,7,1001.78,0,29.60,49.00,0.0000003766,0.00
2019-06-14 19:01:25.014352,8,1001.81,0,29.60,48.90,0.0000002948,0.00
2019-06-14 19:01:32.033456,9,1001.83,0,29.60,49.00,0.0000003766,0.00
